Brand,Model,VAC,Powertrain,Segment,Energy consumption (Wh/km),Electric range (km),Battery capacity (kWh),Battery chemistry,Energy density (Wh/kg),Curb weight (kg),AH,BJ,CQ,FJ,GD,GS,GX,GZ,HA,HB,HE,HI,HL,HN,JL,JS,JX,LN,NM,NX,QH,SC,SD,SH,SN,TJ,XJ,XZ,YN,ZJ,Total_Registrations,Market,N_Countries,Battery_Chem_Code,CO2_g_km_EU,CO2_g_km_CN,Segment_Label
smart,smart精灵#1,JL7000BEV04,BEV,3,130.0,560.0,66.0,NCM-H,184.4,1800.0,250,580.0,385,102.0,344,40.0,101,75,324,352.0,59,159,18.0,126.0,11.0,256,71.0,34.0,10.0,7.0,7.0,711,308.0,1734.0,322.0,271,3.0,1.0,157,672,7490.0,CN,30,3,30.290000000000003,75.53,Medium
smart,smart精灵#1,JL7000BEV08,BEV,3,134.0,535.0,66.0,NCM-H,180.0,1770.0,199,532.0,380,146.0,320,40.0,125,119,337,301.0,58,243,16.0,136.0,22.0,373,100.0,48.0,10.0,7.0,6.0,789,351.0,2736.0,371.0,362,3.0,,184,581,8895.0,CN,30,3,31.222,77.854,Medium
阿维塔,阿维塔11,SC6491EBCBEV,BEV,5,180.3,555.0,90.38,NCM-H,180.0,2280.0,205,682.0,1540,224.0,476,33.0,95,122,239,347.0,111,143,5.0,195.0,4.0,169,115.0,3.0,,6.0,8.0,695,143.0,1580.0,256.0,156,13.0,1.0,123,665,8354.0,CN,30,3,42.0099,104.75430000000001,Executive
埃安,广汽AION Y,GAM7000BEVD0Q,BEV,3,138.0,500.0,64.17,LFP,143.0,1725.0,554,475.0,429,240.0,4332,28.0,260,147,856,518.0,597,822,1.0,342.0,25.0,315,184.0,228.0,28.0,28.0,38.0,156,188.0,1717.0,245.0,983,16.0,2.0,162,660,14576.0,CN,30,0,32.154,80.17800000000001,Medium
埃安,广汽AionS,GAM7001BEVA0L,BEV,3,129.0,510.0,61.1847,NCM-M,160.0,1640.0,151,173.0,600,123.0,2144,25.0,197,368,304,229.0,191,237,,164.0,5.0,218,73.0,240.0,14.0,13.0,24.0,968,132.0,271.0,327.0,196,13.0,1.0,184,695,8280.0,CN,30,2,30.057000000000002,74.949,Medium
埃安,广汽AionS,GAM7001BEVA0N,BEV,3,129.0,460.0,55.1862,LFP,140.19,1685.0,1162,854.0,3778,804.0,17632,169.0,1551,3375,2361,1419.0,1256,1471,5.0,1236.0,43.0,1344,479.0,1508.0,54.0,102.0,185.0,6993,1029.0,1416.0,1974.0,1388,108.0,10.0,1358,5861,60925.0,CN,30,0,30.057000000000002,74.949,Medium
埃安,广汽AionV,GAM6460BEVC0K,BEV,4,153.0,500.0,71.145,LFP,141.0,2040.0,36,291.0,100,84.0,1091,6.0,42,19,214,73.0,84,235,1.0,90.0,3.0,38,22.0,34.0,2.0,8.0,9.0,101,104.0,294.0,59.0,83,3.0,,52,91,3269.0,CN,30,0,35.649,88.893,Large
埃安,广汽AionV,GAM6460BEVC0T,BEV,4,148.0,600.0,80.0,NCM-H,173.0,1960.0,68,453.0,82,79.0,1026,8.0,95,23,218,96.0,78,280,1.0,90.0,6.0,51,19.0,28.0,4.0,2.0,7.0,116,106.0,362.0,24.0,113,5.0,,30,81,3551.0,CN,30,3,34.484,85.988,Large
奥迪,奥迪Q4 e-tron,FV6469AABEV,BEV,4,144.0,605.0,84.8,NCM-H,165.0,2160.0,281,1345.0,375,122.0,302,110.0,184,109,712,282.0,155,317,51.0,299.0,738.0,409,129.0,366.0,52.0,96.0,15.0,1050,264.0,2084.0,420.0,254,41.0,2.0,283,488,11335.0,CN,30,3,33.552,83.66399999999999,Large
宝马,宝马i3,BMW7000AAEV,BEV,5,143.0,526.0,69.9527,NCM-M,138.0,2029.0,817,2600.0,1339,377.0,1602,121.0,365,388,1050,1133.0,389,323,116.0,975.0,212.0,1231,446.0,670.0,110.0,112.0,57.0,2253,664.0,4548.0,1146.0,771,161.0,4.0,534,2621,27135.0,CN,30,2,33.318999999999996,83.083,Executive
宝马,宝马X3,BMW6475ACEV,BEV,4,167.0,550.0,80.0,NCM-M,154.0,2190.0,334,984.0,542,151.0,639,61.0,156,160,395,503.0,139,119,40.0,419.0,74.0,511,197.0,219.0,50.0,48.0,26.0,1036,249.0,1806.0,494.0,269,63.0,2.0,192,1021,10899.0,CN,30,2,38.911,97.027,Large
宝马,宝马X3,BMW6475ADEV,BEV,4,169.0,535.0,80.0,NCM-M,154.0,2190.0,263,1171.0,403,133.0,579,39.0,150,122,320,393.0,124,144,51.0,388.0,63.0,488,193.0,261.0,39.0,36.0,18.0,778,243.0,1839.0,375.0,297,60.0,2.0,168,931,10071.0,CN,30,2,39.377,98.18900000000001,Large
北汽新能源,EU系列,BJ7000C5EB-BEV,BEV,3,158.0,305.0,44.8167,LFP,142.41,1543.0,78,13791.0,625,371.0,2350,,6,325,24,700.0,56,34,,195.0,3.0,7,331.0,71.0,,91.0,30.0,599,112.0,57.0,1053.0,570,55.0,,2382,1179,25095.0,CN,30,0,36.814,91.798,Medium
奔驰,奔驰EQB,BJ6471NBEV1,BEV,4,134.0,600.0,73.5,NCM-H,188.0,2072.0,98,345.0,194,54.0,198,13.0,51,51,153,165.0,59,50,,123.0,9.0,149,57.0,7.0,,,8.0,268,91.0,662.0,144.0,103,,,60,242,3354.0,CN,30,3,31.222,77.854,Large
奔驰,奔驰EQE,BJ7003NBEV2,BEV,5,144.0,717.0,96.1,NCM-H,172.53,2410.0,112,455.0,233,32.0,233,17.0,66,64,139,165.0,47,42,,129.0,16.0,144,66.0,3.0,,,9.0,243,84.0,702.0,198.0,93,,,104,279,3675.0,CN,30,3,33.552,83.66399999999999,Executive
奔腾,奔腾NAT,CA7007BEVB,BEV,4,132.0,419.0,54.956,LFP,140.0,1700.0,153,86.0,432,376.0,526,79.0,51,40,72,262.0,67,131,,94.0,152.0,140,55.0,38.0,15.0,105.0,3.0,531,112.0,63.0,109.0,160,1.0,1.0,101,153,4108.0,CN,30,0,30.756,76.69200000000001,Large
奔腾,奔腾NAT,CA7007BEVE,BEV,4,132.0,419.0,54.956,LFP,140.0,1700.0,271,139.0,397,379.0,431,109.0,85,45,92,327.0,134,192,2.0,87.0,180.0,207,134.0,70.0,19.0,166.0,1.0,695,254.0,94.0,124.0,247,1.0,,169,209,5260.0,CN,30,0,30.756,76.69200000000001,Large
本田,本田e:NS1,DHW7002RSBEV,BEV,3,138.0,510.0,65.4534,NCM-H,183.0,1692.0,9,13.0,41,8.0,27,7.0,9,40,78,63.0,2,17,3.0,8.0,2.0,6,3.0,12.0,3.0,7.0,,47,20.0,13.0,18.0,76,9.0,,15,387,943.0,CN,30,3,32.154,80.17800000000001,Medium
比亚迪,比亚迪e3,BYD7002BEVA9,BEV,3,114.0,420.0,41.0223,LFP,140.0,1360.0,251,58.0,5,198.0,16,699.0,138,229,203,,1,3,1.0,6.0,1.0,5,72.0,231.0,1.0,31.0,16.0,11,347.0,77.0,2.0,7,,5.0,12,106,2732.0,CN,30,0,26.562,66.23400000000001,Medium
比亚迪,比亚迪海豹,BYD7006BEVA,BEV,5,126.0,550.0,61.44,LFP,140.5,1885.0,436,636.0,600,145.0,531,30.0,185,150,400,527.0,98,138,19.0,429.0,49.0,534,243.0,100.0,49.0,76.0,14.0,691,141.0,2941.0,344.0,266,23.0,5.0,148,763,10711.0,CN,30,0,29.358,73.206,Executive
比亚迪,比亚迪海豹,BYD7006BEVA2,BEV,5,130.0,700.0,84.63,LFP,147.9,2015.0,315,682.0,408,135.0,418,16.0,170,123,342,355.0,57,97,18.0,311.0,26.0,407,168.0,66.0,31.0,59.0,17.0,660,132.0,2482.0,241.0,200,32.0,3.0,160,678,8809.0,CN,30,0,30.290000000000003,75.53,Executive
比亚迪,比亚迪海豚,BYD7004BEV1,BEV,3,110.0,405.0,44.928,LFP,140.0,1405.0,4083,2941.0,3409,1079.0,2160,272.0,2532,1552,6496,3665.0,2373,1080,259.0,2460.0,383.0,4220,2094.0,1461.0,837.0,740.0,175.0,3911,2246.0,13289.0,3020.0,5018,330.0,29.0,1102,4354,77570.0,CN,30,0,25.63,63.910000000000004,Medium
比亚迪,比亚迪海豚,BYD7004BEV2,BEV,3,113.0,401.0,44.928,LFP,140.0,1450.0,152,217.0,212,51.0,112,22.0,118,68,285,150.0,103,49,33.0,120.0,10.0,162,93.0,85.0,52.0,25.0,14.0,196,124.0,595.0,134.0,225,19.0,,70,161,3657.0,CN,30,0,26.329,65.653,Medium
比亚迪,比亚迪海豚,BYD7004BEV6,BEV,3,105.0,420.0,45.12,LFP,140.56,1435.0,701,407.0,592,164.0,308,46.0,402,286,1324,675.0,357,152,35.0,440.0,57.0,808,344.0,200.0,120.0,99.0,32.0,725,298.0,986.0,675.0,699,78.0,15.0,181,608,11814.0,CN,30,0,24.465,61.004999999999995,Medium
比亚迪,比亚迪汉,BYD7009BEV1,BEV,5,141.0,605.0,77.0,LFP,140.0,2020.0,404,1417.0,629,95.0,750,37.0,152,201,310,417.0,174,344,19.0,351.0,58.0,360,145.0,124.0,31.0,67.0,9.0,1063,217.0,1855.0,567.0,203,31.0,5.0,174,577,10786.0,CN,30,0,32.852999999999994,81.92099999999999,Executive
比亚迪,比亚迪汉,BYD7009BEV2,BEV,5,139.0,506.0,65.0,LFP,140.0,1940.0,665,1632.0,814,194.0,873,41.0,245,239,446,585.0,324,493,33.0,608.0,97.0,504,220.0,204.0,51.0,75.0,22.0,1190,225.0,2776.0,758.0,231,42.0,1.0,224,816,14628.0,CN,30,0,32.387,80.759,Executive
比亚迪,比亚迪汉,BYD7009BEV5,BEV,5,149.0,610.0,85.44,LFP,150.0,2250.0,288,798.0,344,91.0,395,25.0,142,117,251,268.0,145,197,34.0,233.0,57.0,241,94.0,99.0,33.0,38.0,5.0,583,119.0,1282.0,366.0,122,27.0,2.0,113,362,6871.0,CN,30,0,34.717,86.569,Executive
比亚迪,比亚迪汉,BYD7009BEV6,BEV,5,135.0,715.0,85.44,LFP,150.0,2100.0,479,1451.0,567,125.0,589,25.0,188,165,356,460.0,201,369,29.0,407.0,64.0,374,190.0,136.0,27.0,42.0,19.0,963,187.0,2146.0,564.0,210,29.0,4.0,195,611,11172.0,CN,30,0,31.455000000000002,78.435,Executive
比亚迪,比亚迪秦PLUS,BYD7008BEVA8,BEV,3,123.0,500.0,57.195,LFP,140.0,1650.0,1326,1985.0,2181,667.0,1501,62.0,1084,1344,564,946.0,712,424,30.0,609.0,138.0,673,529.0,613.0,85.0,105.0,370.0,2638,424.0,3292.0,886.0,490,114.0,23.0,826,2159,26800.0,CN,30,0,28.659,71.463,Medium
比亚迪,比亚迪秦PLUS,BYD7008BEVA9,BEV,3,120.0,400.0,44.64,LFP,140.0,1580.0,1054,1311.0,1440,600.0,1171,45.0,968,819,392,656.0,602,510,20.0,462.0,83.0,593,378.0,532.0,49.0,42.0,244.0,1593,402.0,1665.0,529.0,352,76.0,11.0,540,1765,18904.0,CN,30,0,27.959999999999997,69.72,Medium
比亚迪,比亚迪元PLUS,BYD7003BEVA,BEV,3,122.0,430.0,49.92,LFP,140.0,1625.0,118,84.0,80,19.0,58,2.0,35,62,85,83.0,35,128,8.0,62.0,16.0,42,67.0,39.0,15.0,8.0,5.0,85,38.0,876.0,95.0,44,2.0,1.0,34,89,2315.0,CN,30,0,28.426,70.882,Medium
比亚迪,比亚迪元PLUS,BYD7003BEVA1,BEV,3,125.0,510.0,59.2875,LFP,150.0,1690.0,1966,5131.0,1914,836.0,1684,146.0,962,1102,1600,1662.0,736,2457,208.0,956.0,190.0,1426,686.0,898.0,211.0,243.0,350.0,1238,944.0,10405.0,1132.0,1475,113.0,22.0,816,2236,43745.0,CN,30,0,29.125,72.625,Medium
比亚迪,比亚迪元PLUS,BYD7003BEVA2,BEV,3,121.0,445.0,50.0759,LFP,150.0,1585.0,1472,3532.0,1485,699.0,1095,92.0,786,755,1366,1331.0,722,1823,174.0,903.0,167.0,1248,653.0,771.0,220.0,184.0,240.0,1039,773.0,7302.0,922.0,1596,98.0,13.0,558,1928,33947.0,CN,30,0,28.192999999999998,70.301,Medium
比亚迪,比亚迪元PLUS,BYD7003BEVA3,BEV,3,125.0,510.0,59.2875,LFP,150.0,1690.0,1064,3019.0,1076,511.0,1004,89.0,598,623,946,948.0,422,1324,136.0,578.0,118.0,902,429.0,489.0,139.0,136.0,179.0,704,577.0,6100.0,660.0,895,71.0,6.0,467,1322,25532.0,CN,30,0,29.125,72.625,Medium
比亚迪,秦,BYD7005BEVA8,BEV,3,122.0,450.0,51.057,LFP,140.0,1625.0,2050,50.0,1673,586.0,911,363.0,1189,513,1667,2421.0,1399,38,134.0,1450.0,44.0,2443,901.0,527.0,18.0,317.0,1101.0,2114,553.0,958.0,1035.0,353,36.0,9.0,282,354,25489.0,CN,30,0,28.426,70.882,Medium
比亚迪,秦,BYD7005BEVA9,BEV,3,118.0,405.0,44.4447,LFP,140.0,1531.0,265,6.0,261,76.0,138,70.0,731,85,167,371.0,397,2,22.0,282.0,3.0,1522,148.0,108.0,2.0,54.0,155.0,579,94.0,55.0,492.0,60,3.0,4.0,29,62,6243.0,CN,30,0,27.494,68.55799999999999,Medium
比亚迪,宋PLUS,BYD6470SBEV,BEV,4,141.0,505.0,72.0,LFP,140.0,1950.0,1019,6840.0,2324,866.0,1822,69.0,650,481,1518,1191.0,354,2995,80.0,929.0,136.0,1055,525.0,634.0,240.0,260.0,60.0,1621,679.0,10312.0,959.0,896,151.0,13.0,343,1371,40393.0,CN,30,0,32.852999999999994,81.92099999999999,Large
比亚迪,元Pro,BYD7003BEV10,BEV,2,129.0,401.0,50.12,LFP,140.0,1605.0,196,507.0,215,61.0,191,29.0,144,147,212,184.0,139,147,44.0,140.0,39.0,105,92.0,90.0,27.0,41.0,14.0,227,116.0,901.0,135.0,340,43.0,5.0,67,171,4769.0,CN,30,0,30.057000000000002,74.949,Small
别克,Velite6,SGM7008LKBEV,BEV,3,126.0,518.0,60.6992,NCM-M,163.0,1620.0,1422,461.0,384,253.0,684,33.0,178,262,338,793.0,211,131,13.0,283.0,100.0,1728,346.0,83.0,25.0,20.0,223.0,1399,496.0,6327.0,279.0,378,88.0,37.0,34,1641,18650.0,CN,30,2,29.358,73.206,Medium
别克,别克Electra E5,SGM6491BABEV,BEV,5,135.0,545.0,68.4,NCM-H,165.0,2075.0,223,841.0,236,88.0,188,49.0,53,56,202,250.0,86,132,49.0,123.0,33.0,278,67.0,194.0,34.0,47.0,14.0,260,260.0,3321.0,186.0,99,45.0,,54,203,7671.0,CN,30,3,31.455000000000002,78.435,Executive
传祺,广汽AionS,GAM7000BEVA0Q,BEV,3,129.0,460.0,55.1862,NCM-M,163.0,1575.0,233,208.0,500,118.0,2551,22.0,260,498,746,230.0,233,176,,191.0,6.0,323,77.0,307.0,12.0,13.0,32.0,1058,182.0,210.0,304.0,353,24.0,,169,869,9905.0,CN,30,2,30.057000000000002,74.949,Medium
传祺,广汽AionS,GAM7001BEVA0D,BEV,3,129.0,510.0,61.1847,NCM-H,170.0,1660.0,137,159.0,411,97.0,1547,20.0,147,288,268,165.0,149,194,2.0,136.0,7.0,160,62.0,162.0,7.0,12.0,20.0,704,105.0,227.0,268.0,177,16.0,,138,493,6278.0,CN,30,3,30.057000000000002,74.949,Medium
传祺,广汽AionS,GAM7001BEVA0E,BEV,3,131.0,602.0,73.3417,NCM-H,170.0,1750.0,79,193.0,303,82.0,1484,17.0,128,213,207,126.0,136,110,1.0,111.0,5.0,138,48.0,146.0,3.0,6.0,24.0,585,105.0,155.0,181.0,173,14.0,2.0,122,419,5316.0,CN,30,3,30.523,76.111,Medium
传祺,广汽AionV,GAM6460BEVC0J,BEV,4,149.0,500.0,69.9,NCM-H,166.0,1905.0,48,376.0,103,89.0,1190,13.0,66,31,247,102.0,107,342,,122.0,2.0,58,12.0,37.0,2.0,7.0,8.0,158,136.0,330.0,67.0,121,4.0,,43,122,3943.0,CN,30,3,34.717,86.569,Large
大众,大众ID.3,SVW7000AEV,BEV,4,139.0,430.0,57.3,NCM-H,170.0,1760.0,195,382.0,224,90.0,209,36.0,125,96,539,261.0,263,94,21.0,200.0,14.0,188,72.0,104.0,8.0,39.0,11.0,645,322.0,1770.0,227.0,597,25.0,,116,442,7315.0,CN,30,3,32.387,80.759,Large
大众,大众ID.3,SVW7000BEV,BEV,4,131.0,450.0,52.8,NCM-M,155.0,1760.0,719,1409.0,932,350.0,806,100.0,438,369,2078,1139.0,1025,292,77.0,834.0,47.0,786,268.0,354.0,22.0,121.0,39.0,2033,1145.0,7869.0,878.0,2535,83.0,1.0,511,1696,28956.0,CN,30,2,30.523,76.111,Large
大众,大众ID.4 Crozz,FV6465AABEV,BEV,4,146.0,405.0,55.7,NCM-H,165.0,1945.0,96,314.0,131,50.0,98,3.0,45,47,551,179.0,117,211,13.0,68.0,201.0,103,32.0,190.0,2.0,1.0,3.0,426,164.0,866.0,157.0,399,21.0,,86,169,4743.0,CN,30,3,34.018,84.826,Large
大众,大众ID.4 Crozz,FV6465BBABEV,BEV,4,143.0,600.0,84.8,NCM-H,165.0,2130.0,291,1171.0,350,187.0,310,8.0,115,99,1645,478.0,306,487,27.0,289.0,521.0,264,56.0,704.0,10.0,13.0,12.0,1299,498.0,2307.0,354.0,922,60.0,,268,432,13483.0,CN,30,3,33.318999999999996,83.083,Large
大众,大众ID.4 X,SVW6461BEV,BEV,4,162.0,555.0,83.0,NCM-H,175.0,2120.0,127,1026.0,260,95.0,91,50.0,95,101,437,194.0,214,262,19.0,179.0,11.0,207,26.0,194.0,4.0,16.0,17.0,625,248.0,3187.0,162.0,381,31.0,,147,331,8737.0,CN,30,3,37.746,94.122,Large
大众,大众ID.4 X,SVW6461DEV,BEV,4,140.0,425.0,52.8,NCM-M,155.0,1960.0,38,299.0,87,31.0,37,8.0,23,44,101,80.0,59,80,9.0,72.0,3.0,37,5.0,60.0,2.0,8.0,4.0,245,98.0,1192.0,44.0,113,11.0,,46,90,2926.0,CN,30,2,32.620000000000005,81.34,Large
大众,大众ID.6 Crozz,FV6498BBDBEV,BEV,5,144.0,601.0,84.8,NCM-H,165.0,2290.0,68,1347.0,178,35.0,209,9.0,26,38,1212,142.0,113,107,10.0,36.0,1362.0,50,14.0,145.0,2.0,5.0,2.0,922,158.0,627.0,92.0,226,15.0,,127,357,7634.0,CN,30,3,33.552,83.66399999999999,Executive
大众,大众ID.6 X,SVW6492BEV,BEV,5,155.0,588.0,83.4,NCM-H,175.0,2280.0,37,698.0,123,24.0,34,33.0,39,26,86,63.0,47,77,7.0,72.0,2.0,49,14.0,28.0,4.0,12.0,5.0,260,71.0,874.0,59.0,111,10.0,,55,107,3027.0,CN,30,3,36.115,90.05499999999999,Executive
东风,风神EX1,EQ7000FD2F3BEV,BEV,1,93.0,201.0,17.3845,LFP,110.0,872.0,99,42.0,160,28.0,25,36.0,91,14,317,339.0,67,59,2.0,37.0,1.0,54,30.0,13.0,35.0,3.0,,212,80.0,1.0,69.0,138,17.0,,41,64,2074.0,CN,30,0,21.669,54.033,Mini
丰田,bZ3,TV7002BEV,BEV,4,110.0,517.0,49.92,LFP,146.39,1710.0,135,578.0,181,112.0,799,6.0,47,44,298,67.0,173,59,34.0,35.0,39.0,152,128.0,174.0,6.0,5.0,13.0,815,265.0,261.0,983.0,1198,96.0,4.0,78,533,7318.0,CN,30,0,25.63,63.910000000000004,Large
丰田,bZ3,TV7002BEVP,BEV,4,120.0,616.0,65.28,LFP,148.7,1835.0,127,535.0,152,93.0,716,9.0,55,35,214,61.0,149,65,29.0,45.0,44.0,125,118.0,152.0,11.0,3.0,18.0,753,172.0,224.0,892.0,1009,100.0,5.0,77,436,6424.0,CN,30,0,27.959999999999997,69.72,Large
丰田,一汽丰田bZ4X,TV6470BEVFF,BEV,4,116.0,615.0,66.7,NCM-M,155.48,1870.0,22,386.0,62,9.0,379,8.0,41,21,213,56.0,26,90,19.0,50.0,25.0,34,21.0,30.0,9.0,4.0,1.0,116,43.0,190.0,54.0,330,20.0,1.0,54,264,2578.0,CN,30,2,27.028000000000002,67.396,Large
风神,风神E70,DFM7002G1F7BEV,BEV,3,132.0,412.0,50.5771,LFP,125.0,1537.0,137,,175,58.0,249,,255,161,14,4289.0,19,73,1.0,190.0,,151,367.0,42.0,64.0,14.0,5.0,1039,52.0,52.0,264.0,50,,,448,293,8462.0,CN,30,0,30.756,76.69200000000001,Medium
风神,风神E70,DFM7002G1F9BEV,BEV,3,132.0,412.0,49.2268,LFP,140.0,1537.0,74,2.0,174,56.0,300,1.0,183,106,12,2794.0,13,42,,172.0,,64,210.0,32.0,54.0,8.0,6.0,684,48.0,54.0,171.0,50,,,332,196,5838.0,CN,30,0,30.756,76.69200000000001,Medium
风神,风神EX1,EQ7000FD2F2BEV,BEV,1,96.0,321.0,30.358,NCM-M,148.0,921.0,74,24.0,63,16.0,11,21.0,74,7,191,194.0,47,31,1.0,34.0,1.0,30,18.0,19.0,8.0,2.0,2.0,141,48.0,1.0,31.0,102,11.0,,22,40,1264.0,CN,30,2,22.368000000000002,55.776,Mini
合创,合创Z03,GAM6460BEVM0E,BEV,3,135.0,510.0,63.983,LFP,143.0,1740.0,251,25.0,358,61.0,836,,100,282,140,119.0,151,208,1.0,26.0,4.0,50,9.0,99.0,,,28.0,328,32.0,161.0,23.0,190,,11.0,32,469,3994.0,CN,30,0,31.455000000000002,78.435,Medium
红旗,红旗E-QM5,CA7000H0EV,BEV,5,135.0,431.0,54.956,LFP,140.0,1810.0,83,1032.0,183,90.0,515,,20,199,216,176.0,146,16,13.0,96.0,13394.0,238,31.0,67.0,38.0,30.0,82.0,789,176.0,137.0,322.0,129,22.0,18.0,544,331,19133.0,CN,30,0,31.455000000000002,78.435,Executive
红旗,红旗E-QM5,CA7000H0EVD,BEV,5,135.0,445.0,54.4,LFP,140.0,1810.0,89,587.0,65,57.0,358,3.0,24,149,159,113.0,82,24,7.0,62.0,7860.0,104,25.0,38.0,37.0,19.0,54.0,407,103.0,74.0,217.0,73,22.0,7.0,417,106,11342.0,CN,30,0,31.455000000000002,78.435,Executive
红旗,红旗E-QM5,CA7000H0EVE,BEV,5,132.0,620.0,81.7,NCM-H,172.0,1900.0,35,412.0,35,46.0,247,3.0,10,101,78,110.0,86,9,13.0,45.0,5066.0,74,24.0,31.0,17.0,11.0,34.0,293,81.0,60.0,125.0,64,9.0,10.0,249,86,7464.0,CN,30,3,30.756,76.69200000000001,Executive
红旗,红旗E-QM5,CA7000H0SEV,BEV,5,135.0,431.0,56.0,NCM-M,160.0,1800.0,39,541.0,60,75.0,307,1.0,9,119,91,127.0,71,12,9.0,48.0,8751.0,79,20.0,35.0,35.0,17.0,35.0,367,98.0,88.0,175.0,55,14.0,20.0,301,107,11706.0,CN,30,2,31.455000000000002,78.435,Executive
吉利,帝豪EC7,HQ7002BEV77,BEV,3,136.0,421.0,52.8,NCM-M,160.35,1535.0,98,,134,106.0,45,6.0,10,109,22,284.0,22,1,5.0,90.0,1.0,247,18.0,108.0,2.0,,15.0,222,47.0,3.0,488.0,12,3.0,,36,1252,3386.0,CN,30,2,31.688000000000002,79.016,Medium
吉利,帝豪EC7,MR7002BEV30,BEV,3,138.0,430.0,51.8,LFP,141.0,1575.0,111,1.0,158,178.0,92,7.0,8,121,49,393.0,22,6,10.0,160.0,2.0,276,15.0,89.0,3.0,,18.0,272,107.0,7.0,580.0,11,4.0,1.0,59,934,3694.0,CN,30,0,32.154,80.17800000000001,Medium
